country_iso3,year,BALANCE_COURANTE,CRDE,CROISSANCE_PIB,DETO,DETTE_PUBLIQUE,EMAG,EMIN,EMSE,EVNA,EXPO,EXPORT_MARCHANDISES_USD,FBCF,IDEE,IMPO,INFLATION_CPI,LFPRF,OUVERTURE_COM,POP_ACTIVE_TOTALE,RETO,SOBG,SOPR,TAAC,TACH,TAUX_EMPLOI_15P,TCER,UNFE,VAAG,VAIN,VASE,WSWF
CHL,1980,-6.66178235642894,1.4773427813477,8.17228334347537,23.7589617793258,,,,,69.475,21.2684484447529,4705000000.0,17.396437088639,0.719918641257922,25.9571089596973,35.1383405330485,,47.2255574044502,,,,,,,,163.764621826367,,7.09042624083891,36.6033924697289,54.0881102044337,
CHL,1981,-13.4535436360531,1.46778880891447,6.71863895635887,24.9673373962757,,,,,69.822,15.2466633451147,3837000000.0,19.4076479620061,1.08867678271885,25.7169252809264,19.6868327084319,,40.9635886260411,,,,,,,,194.136671915104,,6.34140908822716,35.4785442814874,56.4987762465561,
CHL,1982,-11.6893618645153,1.45778010136388,-11.5020620535762,30.4467834585012,,,,,70.291,18.4422561478579,3706000000.0,14.5925358783494,2.03447660923205,21.0569974463748,9.94102693041832,,39.4992535942326,,,,,,,,175.087253464193,,6.23030219959497,35.5402276991489,59.2481285360038,
CHL,1983,-5.41452931267014,1.47365211989337,-4.9352297090374,28.6911024663033,,,,,70.83,23.1190708543507,3831000000.0,13.3097548769588,0.654397007350464,21.1194422235557,27.2571946726204,,44.2385130779064,,,,,,,,143.392045454639,,5.81117354492524,38.0687334742006,52.2122508854059,
CHL,1984,-10.5684245263752,1.49871557098637,3.98371018713553,29.2660041188668,,,,,71.215,22.4552872653066,3651000000.0,15.3860767019267,0.390496027028549,24.0899983284355,19.8602056602626,,46.5452855937421,,,,,,,,142.222197308617,,7.03812743981795,37.7862494882812,48.536868034185,
CHL,1985,-7.87897220641269,1.52456675319995,3.55239860775048,25.4285852757308,,,,,71.615,25.9350262014508,3804000000.0,16.5072700573698,0.804636788479208,24.0398404776303,30.7034989096151,,49.9748666790811,,,,,,,,120.334565402784,,7.37883164165532,38.8062743473158,49.5599861118675,
CHL,1986,-6.20612193919602,1.55013144694725,5.40556438635799,23.6614513053869,,,,,72.061,26.8922386904566,4191000000.0,16.8549246484864,1.6434159267914,24.3461205779226,19.4768379232582,,51.2383592683791,,,,,,,,101.289833837074,,8.43538238536869,34.8077951769043,50.8494245563192,
CHL,1987,-3.25098034750442,1.58587580343349,6.73884253090458,20.7590817242419,,,,,72.466,27.899127374623,5224000000.0,19.2210351862357,3.93930874874498,25.4434311892634,19.8808457201905,,53.3425585638865,,,,,,,,93.0255008591377,,8.65561213174041,35.635553091306,49.5406050896288,
CHL,1988,-0.88405444099552,1.62297053532028,7.35081069623416,19.1532963800615,,,,,72.788,32.3093535908079,7052000000.0,20.5783100985407,3.69782322143286,25.849759175512,14.684351250082,,58.1591127663198,,,,,,,,87.3799812913553,,8.43888848320251,40.9883945513975,45.7014046557415,
CHL,1989,-2.29508114009766,1.64478776264933,10.3583568690228,17.6122706252634,,,,,73.188,33.5152629480169,8078000000.0,24.0921618210257,4.26386915339627,29.1124126998085,17.0279367308962,,62.6276756478254,,,,,,,,89.7647332819432,,8.25943829562004,39.7075817893127,47.1082602957375,
CHL,1990,-1.44968764303319,1.66722675551771,3.59872304691744,20.99111831475,,,,,73.675,32.2119449244153,8373000000.0,23.7709729412989,1.97794818425857,28.9966928543665,26.0364811362364,30.983,61.2086377787818,4956423.0,23.24169089946,2.2505725847102,4.6357996408731,55.815,,,86.036468186292,,8.16488254727689,38.874404083697,46.7176912080462,
CHL,1991,-0.25554288126347,1.66290007957355,7.75620189312957,21.248733777126,37.1,16.7225908828621,26.7607369549089,56.5166515538703,74.082,30.9848794845346,8942000000.0,20.7492215013557,2.1518436890016,26.5226676793206,21.7844124277757,31.873,57.5075471638552,5120213.0,22.789960737402,1.5412269602764,3.7853878491531,56.67,5.23,50.416,88.0896397297912,5.7,9.16272830802187,36.9954749325527,46.1379888012374,75.0844775342238
CHL,1992,-2.0561295791378,1.61244609996212,11.5019314370192,20.932552764781,30.5,15.8316631298229,26.6492387977521,57.5190784287495,74.367,28.5950704800945,10007000000.0,23.4984374150546,2.01143578120064,26.9466772202601,15.4258064688928,33.205,55.5417477003547,5322228.0,23.040160162923,2.1076073981426,3.8846238503546,57.931,4.35,51.887,92.9251479122352,5.34,9.08922702257989,34.8170307202377,47.591765895201,75.0347773609609
CHL,1993,-5.11105015900292,1.55575470326431,6.6855844008042,21.217570220934,28.1,14.4872204176795,27.2887935127406,58.2239860695799,74.679,25.5450555023598,9199000000.0,26.2188854128558,2.07129503152446,27.3687975536673,12.7277669490964,34.088,52.9138530560271,5480115.0,22.633005518499,1.4154352975646,2.9578294325337,58.68,4.49,52.349,94.6635853096462,5.115,7.92947970299973,34.541908173271,48.6916994421312,74.9852939652529
CHL,1994,-2.76296605169419,1.50594720365816,5.07680374667352,20.621123098741,22.6,14.1575535625321,26.2230496433132,59.6193967941547,74.973,27.2530179794726,11604000000.0,24.7209918225773,4.49543455707598,25.5546659744932,11.4431196444973,34.784,52.8076839539658,5623118.0,22.058509067144,1.4373859684028,2.7979992604002,59.244,5.87,51.965,98.0700981258411,6.79,7.44478422975848,36.3057858862368,48.904876992959,74.9885099184771
