pays,S2_structure,S3_ouverture,S6_completude,S7_partiel,n_composantes_valides,S_POC
CHL,0.9191716912291342,0.9399512165830894,1.0,0.7529345362378885,4,0.9030143610125281
TUR,0.9554839351950947,0.6230958183572253,0.9382352941176471,1.0,4,0.8792037619174917
URY,0.8984284664521948,0.5870831987752081,0.9725490196078431,0.8812093120710792,4,0.8348174992265813
PRT,0.870687567136647,0.8460072396699502,0.9882352941176471,0.6313620331195668,4,0.8340730335109527
CRI,0.9075562614713061,0.7429810161074082,0.9950980392156863,0.6611288826594176,4,0.8266910498634545
DNK,0.868925464891013,0.32439589204613783,1.0,0.9287054706630843,4,0.7805067069000589
VNM,0.8952310770975833,0.0,0.9215686274509803,0.9497670931505866,4,0.6916416994247876
MYS,0.8787193467439399,0.0,1.0,0.0,4,0.469679836685985
