cible_1,cible_2,distance_L1,correlation
CROISSANCE_PIB,INFLATION_CPI,0.818007002390168,0.9264622400060042
CROISSANCE_PIB,SOBG,1.2709553600161048,-0.9471733278991615
CROISSANCE_PIB,DETTE_PUBLIQUE,1.182864466160638,-0.4621672775641058
CROISSANCE_PIB,BALANCE_COURANTE,1.5022527737029927,-0.6917390332168245
CROISSANCE_PIB,TACH,0.758951199857928,0.16013927134136705
CROISSANCE_PIB,FBCF,0.9602049468109148,-0.4388580116126291
INFLATION_CPI,SOBG,2.0,-0.7568044495734155
INFLATION_CPI,DETTE_PUBLIQUE,1.4105584128494242,-0.09440262196044674
INFLATION_CPI,BALANCE_COURANTE,1.7299467206916905,-0.3690626156102817
INFLATION_CPI,TACH,0.9866451465467141,0.5198932127018931
INFLATION_CPI,FBCF,1.7782119492010828,-0.744790982374761
SOBG,DETTE_PUBLIQUE,0.5894415871505758,0.7221665858074027
SOBG,BALANCE_COURANTE,0.5013506929951976,0.8868054708303305
SOBG,TACH,1.013354853453286,0.16490338499730517
SOBG,FBCF,0.954732742989159,0.12748767022147522
DETTE_PUBLIQUE,BALANCE_COURANTE,0.31938830784226635,0.9600943840977562
DETTE_PUBLIQUE,TACH,0.4239132663027101,0.8013370675632095
DETTE_PUBLIQUE,FBCF,1.2342953854853511,-0.5940075223017022
BALANCE_COURANTE,TACH,0.7433015741449764,0.6020532572566274
BALANCE_COURANTE,FBCF,1.2342953851854395,-0.3453151190125847
TACH,FBCF,1.2342953854853511,-0.9572384425835659
