cible,horizon,bloc,comparaison,n_previsions,rmse_modele,mae_modele,rmse_baseline,mae_baseline,biais_moyen_modele,gain_rmse_vs_baseline_pct,seuil_gain_atteint,statut,rmse_relative_modele,rmse_relative_baseline,derive_systematique,motif
CROISSANCE_PIB,1,interne,benchlearning_vs_random_walk,14,3.9835107774010585,3.0470534776832245,3.6278525352796436,2.7107134567026288,-0.9638988453970113,-9.80354737858715,False,evalue,,,,
CROISSANCE_PIB,1,interne,benchlearning_vs_modele_national,14,3.9835107774010585,3.0470534776832245,3.449017248547998,2.031902962817964,-0.9638988453970113,-15.496980453724225,False,evalue,,,,
CROISSANCE_PIB,1,finale,benchlearning_vs_random_walk,4,3.27217908077046,2.365979974293261,8.347697811477595,5.913916388708702,-1.4019167093567022,60.80141908980694,True,evalue,,,,
CROISSANCE_PIB,1,finale,benchlearning_vs_modele_national,4,3.27217908077046,2.365979974293261,2.7949578677992566,2.546991838568589,-1.4019167093567022,-17.07436160198602,False,evalue,,,,
CROISSANCE_PIB,2,interne,benchlearning_vs_random_walk,12,4.187459919395628,3.4701280377880583,3.3141496888808413,2.045023081502236,-0.6428511028625947,-26.350959144808435,False,evalue,,,,
CROISSANCE_PIB,2,interne,benchlearning_vs_modele_national,12,4.187459919395628,3.4701280377880583,3.532430471332079,2.0039698479186527,-0.6428511028625947,-18.54330760023529,False,evalue,,,,
CROISSANCE_PIB,2,finale,benchlearning_vs_random_walk,4,2.966836367693574,2.1662795248523445,5.759956850247763,5.183607881795228,-2.0940479097223457,48.4920383116072,True,evalue,,,,
CROISSANCE_PIB,2,finale,benchlearning_vs_modele_national,4,2.966836367693574,2.1662795248523445,2.4249176290481946,1.6175512148029,-2.0940479097223457,-22.347923581143995,False,evalue,,,,
CROISSANCE_PIB,3,interne,benchlearning_vs_random_walk,10,3.6916836822162273,2.6647260788570106,4.310514174317494,2.737813401450416,-0.4343472688603184,14.356303379961613,True,evalue,,,,
CROISSANCE_PIB,3,interne,benchlearning_vs_modele_national,10,3.6916836822162273,2.6647260788570106,3.994646864107989,2.412278447798922,-0.4343472688603184,7.58422939994757,False,evalue,,,,
CROISSANCE_PIB,3,finale,benchlearning_vs_random_walk,4,2.8788562913747864,2.1084162849417325,6.392486355306372,5.340651299623541,-1.616311151239606,54.96499904164735,True,evalue,,,,
CROISSANCE_PIB,3,finale,benchlearning_vs_modele_national,4,2.8788562913747864,2.1084162849417325,2.301136561885377,1.6388042742362638,-1.616311151239606,-25.10584287166641,False,evalue,,,,
CROISSANCE_PIB,4,interne,benchlearning_vs_random_walk,8,3.8413568284825725,2.674328136464788,2.978878911301762,1.9141325779479001,0.05773376021839194,-28.953104267132165,False,evalue,,,,
CROISSANCE_PIB,4,interne,benchlearning_vs_modele_national,8,3.8413568284825725,2.674328136464788,4.314940419782277,2.6521304829188224,0.05773376021839194,10.97543755479249,True,evalue,,,,
CROISSANCE_PIB,4,finale,benchlearning_vs_random_walk,4,2.9008297146822697,2.1251297718708764,5.74718252915529,4.02150789896993,-1.6845446646240156,49.52605559391154,True,evalue,,,,
CROISSANCE_PIB,4,finale,benchlearning_vs_modele_national,4,2.9008297146822697,2.1251297718708764,2.331005210143555,1.7674353483654777,-1.6845446646240156,-24.445441050885588,False,evalue,,,,
CROISSANCE_PIB,5,interne,benchlearning_vs_random_walk,6,4.258567665680343,3.1397935045907714,5.22257040052508,3.4325221207452308,0.3728945538584787,18.458396171123237,True,evalue,,,,
CROISSANCE_PIB,5,interne,benchlearning_vs_modele_national,6,4.258567665680343,3.1397935045907714,5.0907356418096485,3.2344632044066155,0.3728945538584787,16.346713612366784,True,evalue,,,,
CROISSANCE_PIB,5,finale,benchlearning_vs_random_walk,4,3.0332293882854975,2.1665213237636687,4.182251468879381,3.09278807756803,-1.824816774922122,27.473768355248126,True,evalue,,,,
