cible,horizon,annee_projetee,X_tend_MAR,X_bench_comb,alpha,scenario,X_scenario,portefeuille_reference,horizon_teste_backtest
DETTE_PUBLIQUE,10,2034,50.94518567188014,19.787641254221455,0.0,tendance_nationale_seule,50.94518567188014,initial_cadrage_statistique,False
BALANCE_COURANTE,1,2025,-2.0677131613099538,4.835026858000637,0.0,tendance_nationale_seule,-2.0677131613099538,initial_cadrage_statistique,True
BALANCE_COURANTE,2,2026,-1.953815556349596,4.5238567123671025,0.0,tendance_nationale_seule,-1.953815556349596,initial_cadrage_statistique,True
BALANCE_COURANTE,3,2027,-0.9720773860117802,5.1553725198761855,0.0,tendance_nationale_seule,-0.9720773860117802,initial_cadrage_statistique,True
BALANCE_COURANTE,4,2028,-0.5852941514400931,4.051127626350539,0.0,tendance_nationale_seule,-0.5852941514400931,initial_cadrage_statistique,True
BALANCE_COURANTE,5,2029,-1.7916280592519835,5.86022624349637,0.0,tendance_nationale_seule,-1.7916280592519835,initial_cadrage_statistique,True
BALANCE_COURANTE,6,2030,-0.952440028422172,3.2642685011200236,0.0,tendance_nationale_seule,-0.952440028422172,initial_cadrage_statistique,False
BALANCE_COURANTE,7,2031,-0.8964876596761036,2.12110596500266,0.0,tendance_nationale_seule,-0.8964876596761036,initial_cadrage_statistique,False
BALANCE_COURANTE,8,2032,-3.1273949251180557,3.7950190436438014,0.0,tendance_nationale_seule,-3.1273949251180557,initial_cadrage_statistique,False
BALANCE_COURANTE,9,2033,-3.277758490863761,5.004691182655954,0.0,tendance_nationale_seule,-3.277758490863761,initial_cadrage_statistique,False
BALANCE_COURANTE,10,2034,-3.443426744013617,4.388737823757268,0.0,tendance_nationale_seule,-3.443426744013617,initial_cadrage_statistique,False
TACH,1,2025,9.278621213439894,5.843118041650378,0.0,tendance_nationale_seule,9.278621213439894,initial_cadrage_statistique,True
TACH,2,2026,9.470729046301155,6.868174794132882,0.0,tendance_nationale_seule,9.470729046301155,initial_cadrage_statistique,True
TACH,3,2027,9.616954044911695,8.612909493290028,0.0,tendance_nationale_seule,9.616954044911695,initial_cadrage_statistique,True
TACH,4,2028,9.898324727503525,8.996580478864391,0.0,tendance_nationale_seule,9.898324727503525,initial_cadrage_statistique,True
TACH,5,2029,9.477596140444357,6.330337378030727,0.0,tendance_nationale_seule,9.477596140444357,initial_cadrage_statistique,True
TACH,6,2030,9.435526315789476,7.392732978196658,0.0,tendance_nationale_seule,9.435526315789476,initial_cadrage_statistique,False
TACH,7,2031,11.457825983015374,8.03108533191968,0.0,tendance_nationale_seule,11.457825983015374,initial_cadrage_statistique,False
TACH,8,2032,9.414411764705884,9.840544461676764,0.0,tendance_nationale_seule,9.414411764705884,initial_cadrage_statistique,False
TACH,9,2033,9.4046875,5.011066380593864,0.0,tendance_nationale_seule,9.4046875,initial_cadrage_statistique,False
TACH,10,2034,9.426929112964483,4.612114198853229,0.0,tendance_nationale_seule,9.426929112964483,initial_cadrage_statistique,False
FBCF,1,2025,26.985873772671624,22.049459722169473,0.0,tendance_nationale_seule,26.985873772671624,initial_cadrage_statistique,True
FBCF,2,2026,27.147184316234227,20.57381891848629,0.0,tendance_nationale_seule,27.147184316234227,initial_cadrage_statistique,True
FBCF,3,2027,27.30744087020855,19.698564720615565,0.0,tendance_nationale_seule,27.30744087020855,initial_cadrage_statistique,True
FBCF,4,2028,27.704603846573686,16.715929425930625,0.0,tendance_nationale_seule,27.704603846573686,initial_cadrage_statistique,True
FBCF,5,2029,27.153026796296537,16.503308583111046,0.0,tendance_nationale_seule,27.153026796296537,initial_cadrage_statistique,True
