cible,horizon,annee_projetee,X_tend_MAR,X_bench_comb,alpha,scenario,X_scenario,portefeuille_reference,horizon_teste_backtest
DETTE_PUBLIQUE,1,2025,66.92314167518917,42.52670826359486,1.0,benchmark_pur,42.52670826359486,initial_cadrage_statistique,True
DETTE_PUBLIQUE,2,2026,60.754583458680166,39.682007453296976,1.0,benchmark_pur,39.682007453296976,initial_cadrage_statistique,True
DETTE_PUBLIQUE,3,2027,49.537717748090806,38.06772797793487,1.0,benchmark_pur,38.06772797793487,initial_cadrage_statistique,True
DETTE_PUBLIQUE,4,2028,51.72529487763072,39.196218768146906,1.0,benchmark_pur,39.196218768146906,initial_cadrage_statistique,True
DETTE_PUBLIQUE,5,2029,49.8900831665735,17.716405717344006,1.0,benchmark_pur,17.716405717344006,initial_cadrage_statistique,True
DETTE_PUBLIQUE,6,2030,59.4836124613243,27.50059891899828,1.0,benchmark_pur,27.50059891899828,initial_cadrage_statistique,False
DETTE_PUBLIQUE,7,2031,57.486891330663695,23.993911390683312,1.0,benchmark_pur,23.993911390683312,initial_cadrage_statistique,False
DETTE_PUBLIQUE,8,2032,52.48006684871436,21.381148801801533,1.0,benchmark_pur,21.381148801801533,initial_cadrage_statistique,False
DETTE_PUBLIQUE,9,2033,54.635797451880194,15.26974429409815,1.0,benchmark_pur,15.26974429409815,initial_cadrage_statistique,False
DETTE_PUBLIQUE,10,2034,50.94518567188014,19.78764125422145,1.0,benchmark_pur,19.78764125422145,initial_cadrage_statistique,False
DETTE_PUBLIQUE,1,2025,66.92314167518917,42.52670826359486,0.25,convergence_faible,60.82403332229059,initial_cadrage_statistique,True
DETTE_PUBLIQUE,2,2026,60.754583458680166,39.682007453296976,0.25,convergence_faible,55.48643945733437,initial_cadrage_statistique,True
DETTE_PUBLIQUE,3,2027,49.537717748090806,38.06772797793487,0.25,convergence_faible,46.67022030555182,initial_cadrage_statistique,True
DETTE_PUBLIQUE,4,2028,51.72529487763072,39.196218768146906,0.25,convergence_faible,48.59302585025977,initial_cadrage_statistique,True
DETTE_PUBLIQUE,5,2029,49.8900831665735,17.716405717344006,0.25,convergence_faible,41.84666380426612,initial_cadrage_statistique,True
