pays,S2_structure,S3_ouverture,S6_completude,S7_partiel,n_composantes_valides,S_POC
MYS,0.8787193467439399,0.0,1.0,0.0,4,0.469679836685985
VNM,0.8952310770975833,0.0,0.9215686274509804,0.9497670931505866,4,0.6916416994247876
DNK,0.868925464891013,0.3243958920461378,1.0,0.9287054706630844,4,0.7805067069000589
CRI,0.907556261471306,0.7429810161074082,0.9950980392156864,0.6611288826594176,4,0.8266910498634545
PRT,0.870687567136647,0.8460072396699502,0.9882352941176472,0.6313620331195668,4,0.8340730335109527
URY,0.8984284664521948,0.5870831987752081,0.9725490196078432,0.8812093120710792,4,0.8348174992265813
TUR,0.9554839351950948,0.6230958183572253,0.9382352941176472,1.0,4,0.8792037619174917
CHL,0.9191716912291342,0.9399512165830894,1.0,0.7529345362378885,4,0.903014361012528
