cible,mediane,moyenne,borne_basse_68,borne_haute_68,borne_basse_95,borne_haute_95,scenario,horizon,distribution,annee_projetee,horizon_teste_backtest,n_tirages
CROISSANCE_PIB,4.16991374800364,4.143186407014737,0.8626234847057899,7.43258500744552,-2.376350094631726,10.472961639085812,convergence_moderee,1,gaussienne,2025,True,10000
CROISSANCE_PIB,3.4170418421145827,3.379243674001906,-1.2601729029457198,8.031155786782197,-5.840773267012962,12.33089765397012,convergence_moderee,2,gaussienne,2026,True,10000
CROISSANCE_PIB,3.4535005313171983,3.4072074187732024,-2.2748942400925274,9.10461292106528,-7.884961043878332,14.370699721211388,convergence_moderee,3,gaussienne,2027,True,10000
CROISSANCE_PIB,3.4432129393909525,3.3897582574131464,-3.171367587204747,9.968555458274714,-9.64931474587978,16.049308721555295,convergence_moderee,4,gaussienne,2028,True,10000
CROISSANCE_PIB,3.5487556780108696,3.488991526701866,-3.846570172046301,10.844310402357769,-11.089135272770791,17.6427992279073,convergence_moderee,5,gaussienne,2029,True,10000
CROISSANCE_PIB,3.3842218300312634,3.31875348242708,-4.716951746323495,11.376101614107627,-12.650784306056462,18.82347298750819,convergence_moderee,6,gaussienne,2030,False,10000
CROISSANCE_PIB,3.933640008493029,3.862926111030368,-4.816627541698416,12.56585677073414,-13.386146135734204,20.60993723002659,convergence_moderee,7,gaussienne,2031,False,10000
CROISSANCE_PIB,3.385549470201424,3.309953133976069,-5.968880019919182,12.61377735953665,-15.130080748053668,21.2132610939125,convergence_moderee,8,gaussienne,2032,False,10000
CROISSANCE_PIB,2.838816298400011,2.758634275433307,-7.083054491493546,12.62683007672566,-16.799975229506085,21.74795997164654,convergence_moderee,9,gaussienne,2033,False,10000
CROISSANCE_PIB,3.2320281537154623,3.147508880390552,-7.226541961603724,13.549500589921957,-17.469075753418362,23.16401569065604,convergence_moderee,10,gaussienne,2034,False,10000
