country_iso3,CHL,CRI,DNK,MYS,PRT,TUR,URY,VNM
CHL,1.0,0.29667858778732825,0.3199852781254765,0.5808556549324598,0.3689087638629216,0.7993915722073487,0.3264960004634643,0.5230069486364034
CRI,0.29667858778732825,1.0,0.7028414823350915,0.154418403405651,0.6951447693767537,0.3373584571784186,0.9267725692238002,0.2159135268930934
DNK,0.3199852781254765,0.7028414823350915,1.0,0.29144011776988266,0.9754810999229352,0.16936401149651287,0.7275487589095503,0.06567797541552817
MYS,0.5808556549324598,0.154418403405651,0.29144011776988266,1.0,0.1938176450138921,0.4145914647142717,0.133540682602927,0.7832567102057864
PRT,0.3689087638629216,0.6951447693767537,0.9754810999229352,0.1938176450138921,1.0,0.2834944062206355,0.7607982861020448,0.06056283773913107
TUR,0.7993915722073487,0.3373584571784186,0.16936401149651287,0.4145914647142717,0.2834944062206355,1.0,0.33711224702737597,0.7419716617398716
URY,0.3264960004634643,0.9267725692238002,0.7275487589095503,0.133540682602927,0.7607982861020448,0.33711224702737597,1.0,0.15768584846948347
VNM,0.5230069486364034,0.2159135268930934,0.06567797541552817,0.7832567102057864,0.06056283773913107,0.7419716617398716,0.15768584846948347,1.0
