cible,mediane,moyenne,borne_basse_68,borne_haute_68,borne_basse_95,borne_haute_95,scenario,horizon,distribution,annee_projetee,horizon_teste_backtest,n_tirages
DETTE_PUBLIQUE,54.77183951205464,54.76905413777804,49.99516929479949,59.580646925536776,45.30084804156973,64.19290426391959,convergence_moderee,1,gaussienne,2025,True,10000
DETTE_PUBLIQUE,50.28464263849458,50.28070352441632,43.529410834268695,57.0853233014813,36.89063805181491,63.6080401825771,convergence_moderee,2,gaussienne,2026,True,10000
DETTE_PUBLIQUE,43.88398123451836,43.87915682475318,35.61054572723135,52.213079998483295,27.47974280958701,60.20174404614472,convergence_moderee,3,gaussienne,2027,True,10000
DETTE_PUBLIQUE,45.55458590821407,45.54901515966085,36.00124547370374,55.17220073517833,26.612602967244232,64.39671541194394,convergence_moderee,4,gaussienne,2028,True,10000
DETTE_PUBLIQUE,33.9081485484857,33.90192026226042,23.22718923660447,44.66096881573669,12.730367806160736,54.97428975408289,convergence_moderee,5,gaussienne,2029,True,10000
DETTE_PUBLIQUE,43.60702238120075,43.6001996354804,31.90661767937634,55.38614681554494,20.407925920260983,66.68382385699006,convergence_moderee,6,gaussienne,2030,False,10000
DETTE_PUBLIQUE,40.86452557343114,40.857156165787,28.226644083605112,53.58743409230863,15.8066374733141,65.7903199923022,convergence_moderee,7,gaussienne,2031,False,10000
DETTE_PUBLIQUE,37.063302190269965,37.05542396211344,23.5528385818182,50.6646635162434,10.275293016910624,63.710097278435,convergence_moderee,8,gaussienne,2032,False,10000
DETTE_PUBLIQUE,35.09351450097704,35.08515837814722,20.763503849211567,49.51993674142344,6.680540089522295,63.35670875657186,convergence_moderee,9,gaussienne,2033,False,10000
DETTE_PUBLIQUE,35.51477027324982,35.5059621463997,20.4096127552322,50.72155452895648,5.564865526490108,65.3067928730721,convergence_moderee,10,gaussienne,2034,False,10000
