cible,mediane,moyenne,borne_basse_68,borne_haute_68,borne_basse_95,borne_haute_95,scenario,horizon,distribution,annee_projetee,horizon_teste_backtest,n_tirages
INFLATION_CPI,1.1737867750161155,0.5415107798053489,-1.2483798378292132,1.963915006504327,-4.489857048501396,2.60282468428468,benchmark_pur,3,bootstrap_empirique,2027,True,10000
SOBG,-1.126921900003718,-1.3350408476554347,-2.5014525788538737,1.3017880591143198,-5.541457497816745,1.7383130505276996,benchmark_pur,3,bootstrap_empirique,2027,True,10000
DETTE_PUBLIQUE,37.113315676744456,37.61676793752878,34.57201734946494,44.631148688726036,25.596313879928395,45.35534456406349,benchmark_pur,3,bootstrap_empirique,2027,True,10000
BALANCE_COURANTE,6.6948969747543,7.101654572541299,3.535640819041719,11.633126920797856,2.999461904286389,11.913293027193884,benchmark_pur,3,bootstrap_empirique,2027,True,10000
TACH,8.874186676916205,8.870616226121081,8.104372013251584,9.45777655607687,6.615610186307112,10.465041644716115,benchmark_pur,3,bootstrap_empirique,2027,True,10000
FBCF,18.676176194528303,18.549053958836534,16.459130449928082,20.683196883729064,13.59938109586771,21.719228858981445,benchmark_pur,3,bootstrap_empirique,2027,True,10000
CROISSANCE_PIB,3.3468168267033116,3.293362144725505,-3.267763699892388,9.872159345587072,-9.745710858567419,15.952912608867651,benchmark_pur,4,gaussienne,2028,True,10000
INFLATION_CPI,-2.7486203195367,-2.723386874532972,-6.590878840725163,1.1354524364853378,-10.21760705445269,4.894793942762679,benchmark_pur,4,gaussienne,2028,True,10000
SOBG,-2.0852260980556987,-2.110195609562422,-6.0171922544148595,1.738328064577593,-9.776572716860873,5.6218905999523985,benchmark_pur,4,gaussienne,2028,True,10000
DETTE_PUBLIQUE,39.29004785347216,39.284477104918935,29.736707418961835,48.907662680436424,20.348064912502327,58.13217735720204,benchmark_pur,4,gaussienne,2028,True,10000
BALANCE_COURANTE,3.9201808145809265,4.040166837924579,-1.8183115005368238,10.042786257119747,-7.343239015373288,15.748152034612575,benchmark_pur,4,gaussienne,2028,True,10000
TACH,9.014156821522066,9.021676322080515,7.360047166871866,10.675850069829545,5.7782478604129235,12.298941355556025,benchmark_pur,4,gaussienne,2028,True,10000
FBCF,16.70486362195965,16.68657124055952,12.376459949203223,21.026111168042636,8.137265878786735,24.95990348633536,benchmark_pur,4,gaussienne,2028,True,10000
CROISSANCE_PIB,4.634579030334175,4.326215170028356,1.2837471233518594,5.4037677782865625,-1.1210442522973905,14.893218279187053,benchmark_pur,4,bootstrap_empirique,2028,True,10000
INFLATION_CPI,-2.2640601649224608,-2.8963361601332274,-4.686226777767789,-1.4739319334342493,-7.927703988439973,-0.8350222556538962,benchmark_pur,4,bootstrap_empirique,2028,True,10000
SOBG,-1.29868905461892,-1.5068080022706367,-2.6732197334690757,1.1300209044991179,-5.713224652431947,1.5665458959124976,benchmark_pur,4,bootstrap_empirique,2028,True,10000
DETTE_PUBLIQUE,38.24180646695649,38.74525872774081,35.70050813967698,45.75963947893807,26.72480467014043,46.48383535427553,benchmark_pur,4,bootstrap_empirique,2028,True,10000
BALANCE_COURANTE,5.590652081228653,5.997409679015653,2.431395925516072,10.52888202727221,1.8952170107607422,10.809048133668236,benchmark_pur,4,bootstrap_empirique,2028,True,10000
TACH,9.257857662490569,9.254287211695445,8.488042998825948,9.841447541651235,6.999281171881476,10.848712630290478,benchmark_pur,4,bootstrap_empirique,2028,True,10000
FBCF,15.693540899843363,15.566418664151596,13.476495155243143,17.700561589044124,10.61674580118277,18.736593564296506,benchmark_pur,4,bootstrap_empirique,2028,True,10000
CROISSANCE_PIB,3.305654984646055,3.2458908333370506,-4.089670865411116,10.601209708992952,-11.332235966135604,17.399698534542484,benchmark_pur,5,gaussienne,2029,True,10000
INFLATION_CPI,1.117517769318251,1.1457296184856696,-3.1782578509343624,5.460043125328367,-7.233063261839939,9.663114704664666,benchmark_pur,5,gaussienne,2029,True,10000
SOBG,-1.4832687369727706,-1.5111854995197684,-5.879340542396594,2.7915947746773906,-10.082455676053536,7.13354968666214,benchmark_pur,5,gaussienne,2029,True,10000
DETTE_PUBLIQUE,17.821309823870948,17.815081537645675,7.1403505119897215,28.57413009112194,-3.3564709184540114,38.88745102946814,benchmark_pur,5,gaussienne,2029,True,10000
BALANCE_COURANTE,5.713823257219508,5.84797170949265,-0.7020061952622106,12.55910424168301,-6.87906294222887,18.937897099170456,benchmark_pur,5,gaussienne,2029,True,10000
TACH,6.349988326519922,6.358395383722692,4.500637511501647,8.207817857003905,2.7321321234995364,10.022489081289876,benchmark_pur,5,gaussienne,2029,True,10000
FBCF,16.49093663815865,16.47048513401813,11.65163421498709,21.32223826848151,6.912071159354439,25.72035178501602,benchmark_pur,5,gaussienne,2029,True,10000
CROISSANCE_PIB,4.5885865359293,4.280222675623482,1.237754628946985,5.357775283881688,-1.1670367467022649,14.847225784782179,benchmark_pur,5,bootstrap_empirique,2029,True,10000
INFLATION_CPI,1.6037115734759517,0.9714355782651852,-0.818455039369377,2.393839804964163,-4.059932250041561,3.0327494827445163,benchmark_pur,5,bootstrap_empirique,2029,True,10000
SOBG,-0.6965911538602056,-0.9047101015119224,-2.0711218327103613,1.7321188052578322,-5.111126751673233,2.168643796671212,benchmark_pur,5,bootstrap_empirique,2029,True,10000
DETTE_PUBLIQUE,16.76199341615359,17.265445676937908,14.220695088874077,24.27982642813517,5.244991619337529,25.004022303472627,benchmark_pur,5,bootstrap_empirique,2029,True,10000
BALANCE_COURANTE,7.3997506983744845,7.806508296161483,4.240494542661903,12.337980644418042,3.704315627906573,12.618146750814066,benchmark_pur,5,bootstrap_empirique,2029,True,10000
TACH,6.591614561656904,6.58804411086178,5.821799897992284,7.17520444081757,4.333038071047811,8.182469529456814,benchmark_pur,5,bootstrap_empirique,2029,True,10000
FBCF,15.480920057023784,15.353797821332016,13.263874312423564,17.487940746224545,10.404124958363191,18.523972721476927,benchmark_pur,5,bootstrap_empirique,2029,True,10000
CROISSANCE_PIB,3.2599663793543243,3.194498031750141,-4.8412071970004344,11.251846163430692,-12.775039756733403,18.69921753683125,benchmark_pur,6,gaussienne,2030,False,10000
INFLATION_CPI,3.15776822282583,3.188672755181688,-1.548018195560375,7.9147664108756155,-5.989834975254346,12.519000640498321,benchmark_pur,6,gaussienne,2030,False,10000
SOBG,-1.0508315805194086,-1.0814128616784247,-5.866486965005588,3.632046770653669,-10.470768905996085,8.388420068582482,benchmark_pur,6,gaussienne,2030,False,10000
DETTE_PUBLIQUE,27.61551561003774,27.608692864317376,15.915110908213332,39.39464004438194,4.416419149097972,50.69231708582706,benchmark_pur,6,gaussienne,2030,False,10000
BALANCE_COURANTE,3.1038920649801125,3.2508443317089215,-3.9242969674803962,10.60252168028376,-10.690923606086637,17.590139155681186,benchmark_pur,6,gaussienne,2030,False,10000
TACH,7.414259513724467,7.423468983468853,5.388397197472321,9.449409797415084,3.4510966093159596,11.437282525408973,benchmark_pur,6,gaussienne,2030,False,10000
FBCF,17.586766607994093,17.56436310768875,12.285576408473148,22.879192378072723,7.093645211896923,27.69708434502136,benchmark_pur,6,gaussienne,2030,False,10000
CROISSANCE_PIB,4.538530687090109,4.2301668267842905,1.1876987801077936,5.307719435042497,-1.2170925955414562,14.79716993594299,benchmark_pur,6,bootstrap_empirique,2030,False,10000
INFLATION_CPI,3.6454389590651837,3.0131629638544175,1.223272346219855,4.435567190553395,-2.0182048644523283,5.074476868333749,benchmark_pur,6,bootstrap_empirique,2030,False,10000
SOBG,-0.2640269398278554,-0.47214588747957226,-1.638557618678011,2.1646830192901825,-4.678562537640882,2.6012080107035622,benchmark_pur,6,bootstrap_empirique,2030,False,10000
DETTE_PUBLIQUE,26.546186617807862,27.04963887859218,24.00488829052835,34.06401962978944,15.029184820991802,34.7882155051269,benchmark_pur,6,bootstrap_empirique,2030,False,10000
BALANCE_COURANTE,4.803792955998139,5.210550553785136,1.6445368002855576,9.742022902041697,1.1083578855302276,10.02218900843772,benchmark_pur,6,bootstrap_empirique,2030,False,10000
TACH,7.654010161822836,7.650439711027712,6.884195498158215,8.237600040983502,5.395433671213743,9.244865129622745,benchmark_pur,6,bootstrap_empirique,2030,False,10000
FBCF,16.57793086856811,16.450808632876342,14.36088512396789,18.58495155776887,11.501135769907517,19.620983533021253,benchmark_pur,6,bootstrap_empirique,2030,False,10000
CROISSANCE_PIB,4.595479228524681,4.52476533106202,-4.154788321666765,13.22769599076579,-12.724306915702554,21.271776450058237,benchmark_pur,7,gaussienne,2031,False,10000
INFLATION_CPI,3.311335264785056,3.3447159748856996,-1.771494995156687,8.449480558042838,-6.569205458328966,13.422621917529247,benchmark_pur,7,gaussienne,2031,False,10000
SOBG,-2.241946514589798,-2.274978073492569,-7.443448821214207,2.81614020476696,-12.416641714867794,7.953610539551572,benchmark_pur,7,gaussienne,2031,False,10000
DETTE_PUBLIQUE,24.118035603440944,24.11066619579681,11.48015411361492,36.84094412231843,-0.9398524966760882,49.043830022312015,benchmark_pur,7,gaussienne,2031,False,10000
BALANCE_COURANTE,1.9478796155430675,2.1066062048285175,-5.643432167585363,10.047325303907227,-12.952224275543067,17.594814796859556,benchmark_pur,7,gaussienne,2031,False,10000
TACH,8.054336647734814,8.064284011965343,5.866155254017131,10.252550192883158,3.773631459564723,12.399698141477336,benchmark_pur,7,gaussienne,2031,False,10000
FBCF,19.391731123045204,19.367532577009268,13.665791277039148,25.108204303287053,8.057864642208319,30.312122395076443,benchmark_pur,7,gaussienne,2031,False,10000
CROISSANCE_PIB,5.870027441338961,5.561663581033143,2.519195534356646,6.639216189291349,0.11440415870739606,16.128666690191842,benchmark_pur,7,bootstrap_empirique,2031,False,10000
INFLATION_CPI,3.800364180243877,3.16808818503311,1.378197567398548,4.590492411732088,-1.8632796432736352,5.229402089512441,benchmark_pur,7,bootstrap_empirique,2031,False,10000
