n_tirages,cible,q2_5,q50,q97_5
1000,CROISSANCE_PIB,-5.948534760051973,0.27116132466905074,6.237578105672792
1000,INFLATION_CPI,-3.7847273087036917,-0.024071642452198616,3.894693890347776
1000,SOBG,-3.799796396454329,-0.06321884354429136,3.833789702943281
1000,DETTE_PUBLIQUE,-9.188975661422539,0.16130688006606023,8.847477584799336
1000,BALANCE_COURANTE,-5.699004857523346,-0.15439405362204123,5.8922642562413365
1000,TACH,-1.541894111346033,-0.0031859784275081737,1.7288607406067384
1000,FBCF,-4.706074486615663,-0.07994216036209488,3.788155997170547
5000,CROISSANCE_PIB,-6.481203021098936,0.031127741684124133,6.259222187098128
5000,INFLATION_CPI,-3.745498978870401,0.04258981650646351,3.896342804083986
5000,SOBG,-3.868329265335972,-0.016679651984011428,3.850743459969479
5000,DETTE_PUBLIQUE,-9.378791498833618,0.07133718549555557,9.327181313477343
5000,BALANCE_COURANTE,-5.699004857523346,-0.059343557298549746,5.91694294022942
5000,TACH,-1.6418752065767899,0.00680125412554808,1.6553887528449893
5000,FBCF,-4.356953169021298,-0.021981036391862267,4.053205188476688
10000,CROISSANCE_PIB,-6.525800870915191,0.020462971720176575,6.323510862802347
10000,INFLATION_CPI,-3.7414136179755126,-0.0069202505175178786,3.814786880632172
10000,SOBG,-3.8462686450227532,-0.0005953356201659986,3.852963013383883
10000,DETTE_PUBLIQUE,-9.42407692782229,0.04691454266262357,9.467979294527565
10000,BALANCE_COURANTE,-5.697183320861914,-0.06547340588480613,5.848512204131018
10000,TACH,-1.6091663092257342,0.008788171328837422,1.6511804383458168
10000,FBCF,-4.289331773571945,-0.0055329019854880954,4.1219870302023685
20000,CROISSANCE_PIB,-6.507420431124326,0.036022782658348546,6.410527499692972
20000,INFLATION_CPI,-3.7714912555729536,0.0027278451060999773,3.7744785239066734
20000,SOBG,-3.826854357594751,0.0029703446059409864,3.811314120664095
20000,DETTE_PUBLIQUE,-9.453938648690611,-0.04813117808606418,9.367691751280903
20000,BALANCE_COURANTE,-5.768331750588001,-0.06453869700900557,5.862447174204472
20000,TACH,-1.6064149061722712,0.007702777800214323,1.640681000380452
20000,FBCF,-4.345728202324739,0.004761372294090986,4.277403630387228
