cible,VNM,CRI,DNK,n_obs
CROISSANCE_PIB,0.295156527850691,0.11384697334439303,0.590996498804916,34
INFLATION_CPI,0.0,0.0,1.0,29
SOBG,0.25067534664755464,0.7493246533524454,0.0,27
DETTE_PUBLIQUE,0.0,0.7052792064247121,0.2947207935752879,25
BALANCE_COURANTE,1.4995586660888703e-10,0.8649733601958894,0.13502663965415476,34
TACH,0.0,0.49332257327335705,0.506677426726643,34
FBCF,0.6171476927426756,0.27195828185786586,0.11089402539945854,30
