cible,horizon,modele,bloc,baseline_comparaison,n_previsions,rmse_modele,mae_modele,rmse_baseline,mae_baseline,biais_moyen_modele,gain_rmse_vs_baseline_pct,seuil_gain_atteint,statut,dm_pvalue_hln,dm_statut,rmse_relative_modele,rmse_relative_baseline,derive_systematique,famille,verdict
CROISSANCE_PIB,1,elasticnet,interne,random_walk,14,3.449017248547998,2.031902962817964,3.627852535279644,2.7107134567026288,1.7873879865223563,4.929508159235595,False,evalue,0.6933209406844223,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,1,elasticnet,finale,random_walk,4,2.7949578677992566,2.546991838568589,8.347697811477595,5.913916388708702,-1.8793592213216528,66.51821938311718,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,1,panel_avec_effets_fixes,interne,random_walk,14,3.186870951591089,1.7612306972998586,3.627852535279644,2.7107134567026288,1.1279413561321676,12.155444009924809,True,evalue,0.1940294098555743,calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,1,panel_avec_effets_fixes,finale,random_walk,4,3.8946161562292994,2.675188550097446,8.347697811477595,5.913916388708702,-1.1053929715770785,53.34502704596673,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,1,panel_leave_one_country_out,interne,random_walk,14,3.169134248958452,1.863747625373388,3.627852535279644,2.7107134567026288,0.8994431678236274,12.644347637074842,True,evalue,0.1237538832332774,calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,1,panel_leave_one_country_out,finale,random_walk,4,4.257119807817869,2.9895075262772552,8.347697811477595,5.913916388708702,-1.1204162882006703,49.00246865711192,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,2,elasticnet,interne,random_walk,12,3.532430471332079,2.0039698479186527,3.3141496888808413,2.045023081502236,1.6824839842504995,-6.586328408266589,False,evalue,0.5035959501766367,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,2,elasticnet,finale,random_walk,4,2.424917629048194,1.6175512148029,5.759956850247763,5.183607881795228,-1.6175512148029,57.900420227212514,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,2,panel_avec_effets_fixes,interne,random_walk,12,3.607527141035195,2.1790256717443297,3.3141496888808413,2.045023081502236,1.6572767542853304,-8.852269200110404,False,evalue,0.3307137426370821,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,2,panel_avec_effets_fixes,finale,random_walk,4,2.2358724110500723,1.6057996040334006,5.759956850247763,5.183607881795228,-0.524635716397597,61.182479848718025,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,2,panel_leave_one_country_out,interne,random_walk,12,3.54056610855574,2.058404618436882,3.3141496888808413,2.045023081502236,1.4570072785442625,-6.831810296153448,False,evalue,0.4760991915949266,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,2,panel_leave_one_country_out,finale,random_walk,4,2.198295153541491,1.5881642863041407,5.759956850247763,5.183607881795228,-0.5173872701874793,61.83486767879291,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,3,elasticnet,interne,random_walk,10,3.994646864107989,2.412278447798922,4.310514174317494,2.737813401450416,2.2162239341032794,7.327833697693802,False,evalue,0.3764073826709078,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,3,elasticnet,finale,random_walk,4,2.301136561885377,1.6388042742362638,6.392486355306372,5.340651299623541,-0.5038206533500326,64.0024798805364,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,3,panel_avec_effets_fixes,interne,random_walk,10,3.900200185843564,2.2037789006460864,4.310514174317494,2.737813401450416,1.9797359099172716,9.518910549433416,False,evalue,0.2649884483796958,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,3,panel_avec_effets_fixes,finale,random_walk,4,2.2920770530820684,1.648928105867066,6.392486355306372,5.340651299623541,-0.5233564327728505,64.1442010872745,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,3,panel_leave_one_country_out,interne,random_walk,10,3.835304298990433,2.159414721380093,4.310514174317494,2.737813401450416,1.811812102923529,11.024435974678203,True,evalue,0.2408801616470208,calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,3,panel_leave_one_country_out,finale,random_walk,4,2.3170067461750574,1.7162075200625386,6.392486355306372,5.340651299623541,-0.6517231065569462,63.75421678840626,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,4,elasticnet,interne,random_walk,8,4.314940419782277,2.6521304829188224,2.978878911301762,1.9141325779479,2.5035205754278875,-44.851152002572,False,evalue,0.4634257776037196,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,4,elasticnet,finale,random_walk,4,2.331005210143555,1.7674353483654777,5.74718252915529,4.02150789896993,-0.5140996978389838,59.44090520322899,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,4,panel_avec_effets_fixes,interne,random_walk,8,4.428752736034439,2.668384267646952,2.978878911301762,1.9141325779479,2.5450620204464447,-48.6717945879541,False,evalue,0.4711622334947924,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,4,panel_avec_effets_fixes,finale,random_walk,4,2.3276219692232143,1.8249461347088929,5.74718252915529,4.02150789896993,-0.3872855510436518,59.49977302068873,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
CROISSANCE_PIB,4,panel_leave_one_country_out,interne,random_walk,8,4.3532242324794685,2.570714779028751,2.978878911301762,1.9141325779479,2.399989456840483,-46.1363271922027,False,evalue,0.4898491879127964,calcule,,,,variation,baseline non battue au seuil de 10% sur ce bloc
CROISSANCE_PIB,4,panel_leave_one_country_out,finale,random_walk,4,2.379494261247248,1.853867564542452,5.74718252915529,4.02150789896993,-0.4705691550711005,58.5972039486106,True,evalue,,non_calcule,,,,variation,"gain >= seuil observe, DM non significatif ou non calcule (n insuffisant) : amelioration observee non confirmee statistiquement"
