composante,valeur_propre,variance_expliquee_pct,variance_cumulee_pct
F1,8.86603794218816,31.664421222100575,31.664421222100575
F2,5.977363888072152,21.34772817168626,53.012149393786835
F3,2.701216144600619,9.647200516430782,62.65934991021762
F4,2.1282921772895866,7.6010434903199515,70.26039340053757
F5,1.8152902388984262,6.483179424637236,76.74357282517481
F6,1.4987290872712842,5.352603883111729,82.09617670828654
F7,1.101670831791965,3.934538684971303,86.03071539325784
F8,0.8676725893663707,3.098830676308467,89.1295460695663
F9,0.6361550617535132,2.2719823634054044,91.4015284329717
F10,0.5536384946239966,1.977280337942845,93.37880877091455
F11,0.47737288369612757,1.7049031560575985,95.08371192697214
F12,0.3758582396092336,1.3423508557472628,96.42606278271941
F13,0.27775157723624444,0.991969918700873,97.41803270142029
F14,0.21163928058299777,0.7558545735107064,98.17388727493099
F15,0.16239537569501275,0.5799834846250456,98.75387075955604
F16,0.10979012957785922,0.39210760563521146,99.14597836519125
F17,0.07447773360492449,0.2659919057318732,99.41197027092313
F18,0.06099229453965693,0.2178296233559176,99.62979989427905
F19,0.03313902397633072,0.118353657058324,99.74815355133737
F20,0.029335460466251947,0.10476950166518552,99.85292305300256
F21,0.01938262023048921,0.06922364368031861,99.92214669668287
F22,0.010888046074509371,0.03888587883753347,99.9610325755204
F23,0.005033999543921467,0.017978569799719523,99.97901114532011
F24,0.0034361880544635064,0.012272100194512522,99.99128324551462
F25,0.0024406912546328097,0.008716754480831463,99.99999999999545
F26,1.2707159993713538e-12,4.538271426326264e-12,100.0
F27,5.116784531935683e-28,1.8274230471198868e-27,100.0
F28,1.1363376434824948e-29,4.058348726723196e-29,100.0
