country_iso3,year,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
CRI,1991,-0.6832727233066608,-2.1362543172265887,0.794962192093528,0.2859067574705847,-1.7187533796306396,-0.3696887621523258,1.6066213333913122,2.7825696223712355,-0.7344571102959502,-0.49123050785307326,0.5152863673618329,-0.15928080593827992,-0.4497457567085313,0.2877562159928881,0.5010487804799664,-0.08273357723213844,1.0059618789061748,-0.2409593079089875,0.19060649550595948,0.22405040980525254,-0.16414809272482717,0.10838670571421592,0.014605668030348351,-0.05241210980167561,-0.030436695212996245,-5.900958158730952e-07,8.116763218816967e-16,1.8476723228323154e-15
CRI,1992,-1.2823753126526973,-1.9093875494509331,1.1258678180776385,1.3280635427197751,-1.5709270486212181,-0.8895190230444242,0.9334504130391307,2.5831513202224903,0.828123928916456,0.23638901697530015,0.35199430476403787,-0.046826362055047005,-0.4047633392750854,0.11019850712919081,0.4100176682851014,0.07334054740848682,0.8645221872166649,-0.29415520502371284,0.11125237426557433,0.15520377899197096,-0.05978669486087485,-0.04326399412780113,0.00695446550487131,0.010476284537655521,-0.0075638104444058045,3.7856840061680944e-06,-5.587971306050203e-15,-1.4503821621969123e-15
CRI,1993,-1.1669057913451137,-1.6222958445961844,0.9013520397245534,1.216627608817247,-1.6980439578208069,-0.5735487615885785,-0.14503061973899453,2.0813871220274023,0.9825869479540698,-0.4792422195217905,0.3519002630272856,0.06408083824469697,-0.7225410613195002,0.12650615208708238,0.4461502187974893,0.2939021748491674,0.6618404577721373,-0.15798081708633377,0.03851011800729582,-0.09293295562694287,-0.050802873887807194,-0.010768713399450524,-0.027256021269504986,0.0010942563657255966,-0.07053298478083188,-2.1308996024059822e-07,1.1065073064048735e-14,-2.202178908648609e-16
CRI,1994,-0.8947241860389458,-1.4787375296477634,0.4836759966311641,-0.43036690164765234,-2.2030670333790403,-0.5035416976346537,-0.0926621440061482,2.352010170910195,0.4002382161260445,-0.08503975946332457,0.289544988284344,-0.44635133469997934,-0.451898123826082,0.16196871938544657,0.4758884031773883,-0.035718941742230836,0.7148371122531487,0.244404488962162,-0.17064214907346212,0.02615066688800049,-0.025746269590347048,0.06286114364985798,-0.07095534771436636,-0.05871574773065924,-0.05077572932166763,3.55955541790537e-06,3.685644188842817e-14,-5.395613001791126e-16
CRI,1995,-0.7819874517295045,-1.6984371421567048,0.4893947614751504,0.4749176344613488,-1.7919769033897242,-0.4954352848179231,1.0041090834069302,2.546168624458771,-0.23126326039434483,-0.18264444832279347,0.10745882124391622,0.07431204480588348,-0.3157975567843369,-0.01972356016216225,0.5117428351333044,0.1788081009038835,0.5367725200609387,0.09852793650571867,-0.3071964960371197,0.10687184528545797,0.0020506580299291905,-0.032459454586601176,0.02167439680258331,-0.019456286795040363,-0.05761960062346856,3.602073070401167e-06,6.637142151856528e-15,1.7388945878487888e-15
CRI,1996,-0.29417126956945605,-1.7404723388208068,0.637342054817263,0.01647661389842334,-2.120817058458874,0.026489635690582814,0.6379712925597526,1.9687419133612643,-0.7118314116487118,-0.36835047097483054,0.09289886103803889,0.1055429829091768,-0.5922976505994902,0.08489571066766884,0.47013842269290246,0.3632754628406025,0.5463025353783841,0.05376687845351738,-0.3078159203185709,0.0912103085251838,0.21095149094333224,-0.009026832828221207,-0.057345308254793524,-0.036722048727559534,0.041527801676382384,-3.510093940242468e-06,2.3500887523789186e-15,-3.02320838623236e-16
CRI,1997,-0.7599988401279184,-1.470551160392635,0.44969516686516,0.6691537971769705,-1.929547602062822,-0.17716971189748304,0.3684465612657415,1.8030031162749856,0.2814230623847541,-0.04999972070085127,0.15534890284847205,0.3898305325295845,-0.5164454291109498,0.12417502300583413,0.48410444596653246,0.33890834938054354,0.48253893997684244,0.09096087253407503,-0.36086703747084337,-0.05531324407757744,0.03866365686292898,0.05212030338930076,0.0009093594409614673,-0.0464960447919179,-0.012485984901838214,-3.1707149611698715e-06,-2.0774584880271735e-14,1.0471336938550736e-15
CRI,1998,-0.992126483152539,-1.1403456862125472,0.3279884196286367,1.0915530143577332,-1.9594885625977239,-0.40273856755452236,0.12480474692756865,1.448574766627061,0.405606539414527,0.1960499363970359,-0.11353504569738944,0.40456869041216925,-0.278885704177523,-0.026961057630505138,0.5012524505178964,0.10459842262082476,0.41579645339364174,0.28804796095108803,-0.41792718703151344,0.03279251081528076,0.08153042393344441,0.08536293615667902,0.018989637693129578,-0.02798379877361904,-0.037695849514130464,-2.9257100151658107e-06,-2.9235461084103894e-14,4.844088246119377e-16
CRI,1999,-0.4708201207575389,-1.1493156052797797,0.2533563642244795,0.9962930593173884,-1.833721628169344,-0.257234355955672,0.06883247093936037,1.3247108129867107,-0.04586209221234275,-0.3635581068891067,0.049733487712199334,0.44414919558650495,-0.5600511538112173,0.11102965042263513,0.44601217882924143,0.2464992730086897,0.195156201001169,0.13613285447278575,-0.39691849050507055,0.01602518607772475,0.09982229590348021,0.09949558919701598,0.03975586591587697,0.01634911520185399,-0.018873088566110287,3.106370080206693e-07,2.544757129203373e-14,5.302284411985529e-16
CRI,2000,-0.23543623105173625,-0.981890849830668,0.05987117845576181,0.7138079433244225,-2.139804974041421,-0.36540261649809164,0.05201253172576371,1.4952512197821262,-0.0487204839261858,-0.2083941781734902,-0.10420450379698953,0.10744653510029231,-0.7419036312836176,0.03527634743269788,0.18092927003910703,0.16383854499207237,0.056399027804571636,-0.14753968619600438,-0.19882031154998214,-0.10295802394884758,0.10997711033164911,0.05808974787718861,0.011338232225788206,0.06954550600986838,-0.0507610454448578,3.131873508005111e-06,-1.754596077411751e-14,1.1558706886875954e-15
