pays_exclu,variance_expliquee_F1_pct,variance_expliquee_F2_pct
CHL,42.00593008033754,25.281961926161394
CRI,42.79586008996867,25.071446605268587
DNK,44.1487970005131,19.29207953286771
MAR,45.68854466091407,20.603575302685417
MYS,42.57061582281866,26.65701933729202
PRT,41.678195292791024,25.53200628840573
TUR,44.16675808967128,22.190366376649674
URY,40.128061404839045,25.72279469800689
VNM,39.62765428625121,30.024272082907054
