country_iso3,BALANCE_COURANTE,CRDE,CROISSANCE_PIB,DETO,EMAG,EMIN,EMSE,EVNA,EXPO,EXPORT_MARCHANDISES_USD,FBCF,IDEE,IMPO,INFLATION_CPI,LFPRF,OUVERTURE_COM,POP_ACTIVE_TOTALE,RETO,SOBG,SOPR,TAAC,TACH,TAUX_EMPLOI_15P,UNFE,VAAG,VAIN,VASE,WSWF
CHL,-2.146172921232086,1.1349291663974495,4.268092219314327,23.399569025276442,10.217625695700425,23.759052784879565,66.0233201579778,78.18752941176471,32.42258114748248,49944558823.52941,24.12899263191854,5.729124707527785,30.23254769935943,5.468035815485301,43.234676470588234,62.65512884684191,7617672.764705882,23.42623198557644,0.02666296030005911,0.5447254413043874,63.9125,8.060882352941176,53.60670588235294,9.469205882352941,4.60535514021168,31.1795402650554,54.08386240448037,76.41566725369024
CRI,-3.6277946830644257,1.460907258569976,4.258990022851548,17.39227078783891,15.74002627402336,20.734342602538263,63.525628569720176,78.61220588235294,36.9910991547973,8739470588.235294,19.30043955640599,5.018871524302955,38.79712184137277,8.848744420799434,43.255264705882354,75.78822099617007,1927738.705882353,13.6157033585375,-3.7765674293014437,-0.16990748690804405,64.57014705882352,7.378970588235294,55.51229411764706,9.49085294117647,7.693556793994007,23.089742444175105,60.708542022084416,72.1803598352221
DNK,4.764242918658944,0.4431814228528629,1.7594990567310644,53.48652328132332,3.1031483514682705,22.468051224745153,74.42880229756801,78.51479196556673,49.58862747361095,84855676470.58824,20.768076834775115,2.4337736282860387,43.53758108680262,1.9534446063245616,59.25517647058823,93.1262085604136,2927828.9411764704,53.99500500775226,0.5084817264289065,1.6614600175083072,79.26976470588235,5.997029411764706,60.504441176470586,6.405382352941176,1.6232165717248148,21.46581910103297,63.38654925454913,93.71253006012925
MAR,-1.9194914064249484,1.312174680186911,3.617227918784618,26.215888728016413,40.85225442624669,21.598474442853696,37.54927049560751,69.62173529411766,28.85141801567034,17467117647.058823,26.02462532526255,2.027494133676441,36.290958944599424,2.4709480468160856,23.79414705882353,65.14237696026976,10586237.05882353,23.247979117941384,-2.9679096100750693,0.09624527523798788,51.302617647058824,11.016823529411765,43.577735294117645,11.461441176470588,12.281377879325683,24.74258242593953,48.578541463679734,62.16187241613531
MYS,5.145337401614318,2.029693257119571,5.30527970361496,25.330144886885382,13.692407273762136,29.79652115941176,56.51106990666049,74.2039411764706,88.55615851909603,166368882352.94116,26.490883867286314,3.912083281019318,77.73842442667606,2.5374260496345937,44.60264705882353,166.2945829457721,12047073.647058824,23.209582944497765,-2.120561942387669,-0.5228554525390479,64.29879411764706,3.4415882352941174,59.48905882352941,3.733735294117647,9.955714754232083,41.73326004790067,48.875361374572655,79.79316276070996
PRT,-4.001206711715334,0.2024736230252661,1.5519691766193453,45.664504277279676,5.490579825483943,29.49365209624707,65.01576744609265,78.52948350071738,33.336914422343824,45820441176.47059,21.61278257451275,3.3889622305736453,38.1839132044984,2.9878890083604515,53.23361764705882,71.52082762684225,5224406.94117647,41.14292493038732,-4.52157934689234,-0.9688469634287723,72.68688235294117,7.716735294117647,55.21452941176471,8.45479411764706,2.481022063281564,21.145460980016974,63.59346234402398,84.16046416254312
TUR,-2.514997640278834,1.2444231947278275,4.634449994074525,30.77843344582762,27.665393322906137,26.670529058279413,45.66407780432377,73.795,24.06397445780396,106198941176.47058,26.175987153345858,1.2078315613362387,25.46685866442608,36.903015238487725,29.645617647058824,49.530833122230035,26714662.5,30.701861649974038,-3.6048861858385943,0.9421792890026218,54.93217647058823,9.816764705882353,46.093441176470584,10.850823529411764,9.04921820423643,28.18557822349218,52.74177629816272,51.57947674060523
URY,-1.3727279045919563,0.25588676028910184,2.804802583929827,28.03107930880604,10.802308889695125,20.18877075961272,69.00892299856015,75.7720588235294,24.46847803447855,5297911764.705882,16.571680745046425,2.9425513156249306,23.570695889711168,17.047397889195565,52.03188235294118,48.03917392418971,1588357.794117647,26.34761061998658,-2.048383707414814,0.6037042833590566,72.75873529411764,9.646676470588236,56.08570588235294,12.251823529411766,7.489373236032909,23.098912580571913,62.01991674611078,75.73005650463558
VNM,-1.263065787788452,1.273173388842857,6.684508734565663,20.82270691412904,51.69182045006701,19.41569968190242,28.8924809670568,73.01173529411764,62.26939075882196,110706176470.58824,30.08579938710649,5.458539080688818,65.2949871180645,5.611181734682328,71.72511764705882,127.56437787688647,46286450.705882356,18.768339066479815,-2.0543678476493716,-1.0752861662104203,80.50058823529412,1.8931176470588236,74.34191176470588,1.8311764705882352,19.9810423762023,34.94926167083434,41.09059050563907,27.196718636560096
