country_iso3,year,n_indicateurs,n_manquants,etat_complet
CHL,1991,28,0,True
CHL,1992,28,0,True
CHL,1993,28,0,True
CHL,1994,28,0,True
CHL,1995,28,0,True
CHL,1996,28,0,True
CHL,1997,28,0,True
CHL,1998,28,0,True
CHL,1999,28,0,True
CHL,2000,28,0,True
CHL,2001,28,0,True
CHL,2002,28,0,True
CHL,2003,28,0,True
CHL,2004,28,0,True
CHL,2005,28,0,True
CHL,2006,28,0,True
CHL,2007,28,0,True
CHL,2008,28,0,True
CHL,2009,28,0,True
CHL,2010,28,0,True
CHL,2011,28,0,True
CHL,2012,28,0,True
CHL,2013,28,0,True
CHL,2014,28,0,True
CHL,2015,28,0,True
CHL,2016,28,0,True
CHL,2017,28,0,True
CHL,2018,28,0,True
CHL,2019,28,0,True
CHL,2020,28,0,True
CHL,2021,28,0,True
CHL,2022,28,0,True
CHL,2023,28,0,True
CHL,2024,28,0,True
CRI,1991,28,0,True
CRI,1992,28,0,True
CRI,1993,28,0,True
CRI,1994,28,0,True
CRI,1995,28,0,True
CRI,1996,28,0,True
CRI,1997,28,0,True
CRI,1998,28,0,True
CRI,1999,28,0,True
CRI,2000,28,0,True
CRI,2001,28,0,True
CRI,2002,28,0,True
CRI,2003,28,0,True
CRI,2004,28,0,True
CRI,2005,28,0,True
CRI,2006,28,0,True
CRI,2007,28,0,True
CRI,2008,28,0,True
CRI,2009,28,0,True
CRI,2010,28,0,True
CRI,2011,28,0,True
CRI,2012,28,0,True
CRI,2013,28,0,True
CRI,2014,28,0,True
CRI,2015,28,0,True
CRI,2016,28,0,True
CRI,2017,28,0,True
CRI,2018,28,0,True
CRI,2019,28,0,True
CRI,2020,28,0,True
CRI,2021,28,0,True
CRI,2022,28,0,True
CRI,2023,28,0,True
CRI,2024,28,0,True
DNK,1991,28,0,True
DNK,1992,28,0,True
DNK,1993,28,0,True
DNK,1994,28,0,True
DNK,1995,28,0,True
DNK,1996,28,0,True
DNK,1997,28,0,True
DNK,1998,28,0,True
DNK,1999,28,0,True
DNK,2000,28,0,True
DNK,2001,28,0,True
DNK,2002,28,0,True
DNK,2003,28,0,True
DNK,2004,28,0,True
DNK,2005,28,0,True
DNK,2006,28,0,True
DNK,2007,28,0,True
DNK,2008,28,0,True
DNK,2009,28,0,True
DNK,2010,28,0,True
DNK,2011,28,0,True
DNK,2012,28,0,True
DNK,2013,28,0,True
DNK,2014,28,0,True
DNK,2015,28,0,True
DNK,2016,28,0,True
DNK,2017,28,0,True
DNK,2018,28,0,True
DNK,2019,28,0,True
DNK,2020,28,0,True
DNK,2021,28,0,True
DNK,2022,28,0,True
DNK,2023,28,0,True
DNK,2024,28,0,True
MAR,1991,28,0,True
MAR,1992,28,0,True
MAR,1993,28,0,True
MAR,1994,28,0,True
MAR,1995,28,0,True
MAR,1996,28,0,True
MAR,1997,28,0,True
MAR,1998,28,0,True
MAR,1999,28,0,True
MAR,2000,28,0,True
MAR,2001,28,0,True
MAR,2002,28,0,True
MAR,2003,28,0,True
MAR,2004,28,0,True
MAR,2005,28,0,True
MAR,2006,28,0,True
MAR,2007,28,0,True
MAR,2008,28,0,True
MAR,2009,28,0,True
MAR,2010,28,0,True
MAR,2011,28,0,True
MAR,2012,28,0,True
MAR,2013,28,0,True
MAR,2014,28,0,True
MAR,2015,28,0,True
MAR,2016,28,0,True
MAR,2017,28,0,True
MAR,2018,28,0,True
MAR,2019,28,0,True
MAR,2020,28,0,True
MAR,2021,28,0,True
MAR,2022,28,0,True
MAR,2023,28,0,True
MAR,2024,28,0,True
MYS,1991,28,0,True
MYS,1992,28,0,True
MYS,1993,28,0,True
MYS,1994,28,0,True
MYS,1995,28,0,True
MYS,1996,28,0,True
MYS,1997,28,0,True
MYS,1998,28,0,True
MYS,1999,28,0,True
MYS,2000,28,0,True
MYS,2001,28,0,True
MYS,2002,28,0,True
MYS,2003,28,0,True
MYS,2004,28,0,True
MYS,2005,28,0,True
MYS,2006,28,0,True
MYS,2007,28,0,True
MYS,2008,28,0,True
MYS,2009,28,0,True
MYS,2010,28,0,True
MYS,2011,28,0,True
MYS,2012,28,0,True
MYS,2013,28,0,True
MYS,2014,28,0,True
MYS,2015,28,0,True
MYS,2016,28,0,True
MYS,2017,28,0,True
MYS,2018,28,0,True
MYS,2019,28,0,True
MYS,2020,28,0,True
MYS,2021,28,0,True
MYS,2022,28,0,True
MYS,2023,28,0,True
MYS,2024,28,0,True
PRT,1991,28,3,False
PRT,1992,28,3,False
PRT,1993,28,3,False
PRT,1994,28,3,False
PRT,1995,28,0,True
PRT,1996,28,0,True
PRT,1997,28,0,True
PRT,1998,28,0,True
PRT,1999,28,0,True
PRT,2000,28,0,True
PRT,2001,28,0,True
PRT,2002,28,0,True
PRT,2003,28,0,True
PRT,2004,28,0,True
PRT,2005,28,0,True
PRT,2006,28,0,True
PRT,2007,28,0,True
PRT,2008,28,0,True
PRT,2009,28,0,True
PRT,2010,28,0,True
PRT,2011,28,0,True
PRT,2012,28,0,True
PRT,2013,28,0,True
PRT,2014,28,0,True
PRT,2015,28,0,True
PRT,2016,28,0,True
PRT,2017,28,0,True
PRT,2018,28,0,True
PRT,2019,28,0,True
PRT,2020,28,0,True
PRT,2021,28,0,True
PRT,2022,28,0,True
PRT,2023,28,0,True
PRT,2024,28,0,True
TUR,1991,28,3,False
TUR,1992,28,3,False
TUR,1993,28,3,False
TUR,1994,28,3,False
TUR,1995,28,3,False
TUR,1996,28,3,False
TUR,1997,28,3,False
TUR,1998,28,3,False
TUR,1999,28,4,False
TUR,2000,28,0,True
TUR,2001,28,0,True
TUR,2002,28,0,True
TUR,2003,28,0,True
TUR,2004,28,0,True
TUR,2005,28,0,True
TUR,2006,28,0,True
TUR,2007,28,0,True
TUR,2008,28,0,True
TUR,2009,28,0,True
TUR,2010,28,0,True
TUR,2011,28,0,True
TUR,2012,28,0,True
TUR,2013,28,0,True
TUR,2014,28,0,True
TUR,2015,28,0,True
TUR,2016,28,0,True
TUR,2017,28,0,True
TUR,2018,28,0,True
TUR,2019,28,0,True
TUR,2020,28,0,True
TUR,2021,28,0,True
TUR,2022,28,0,True
TUR,2023,28,0,True
TUR,2024,28,0,True
URY,1991,28,3,False
URY,1992,28,3,False
URY,1993,28,3,False
URY,1994,28,3,False
URY,1995,28,3,False
URY,1996,28,3,False
URY,1997,28,3,False
URY,1998,28,3,False
URY,1999,28,0,True
URY,2000,28,0,True
URY,2001,28,0,True
URY,2002,28,0,True
URY,2003,28,0,True
URY,2004,28,0,True
URY,2005,28,0,True
URY,2006,28,0,True
URY,2007,28,0,True
URY,2008,28,0,True
URY,2009,28,0,True
URY,2010,28,0,True
URY,2011,28,0,True
URY,2012,28,0,True
URY,2013,28,0,True
URY,2014,28,0,True
URY,2015,28,0,True
URY,2016,28,0,True
URY,2017,28,0,True
URY,2018,28,0,True
URY,2019,28,0,True
URY,2020,28,0,True
URY,2021,28,0,True
URY,2022,28,0,True
URY,2023,28,0,True
URY,2024,28,0,True
VNM,1991,28,6,False
VNM,1992,28,6,False
VNM,1993,28,6,False
VNM,1994,28,6,False
VNM,1995,28,5,False
VNM,1996,28,4,False
VNM,1997,28,4,False
VNM,1998,28,0,True
VNM,1999,28,0,True
VNM,2000,28,0,True
VNM,2001,28,0,True
VNM,2002,28,0,True
VNM,2003,28,0,True
VNM,2004,28,0,True
VNM,2005,28,0,True
VNM,2006,28,0,True
VNM,2007,28,0,True
VNM,2008,28,0,True
VNM,2009,28,0,True
VNM,2010,28,0,True
VNM,2011,28,0,True
VNM,2012,28,0,True
VNM,2013,28,0,True
VNM,2014,28,0,True
VNM,2015,28,0,True
VNM,2016,28,0,True
VNM,2017,28,0,True
VNM,2018,28,0,True
VNM,2019,28,0,True
VNM,2020,28,0,True
VNM,2021,28,0,True
VNM,2022,28,0,True
VNM,2023,28,0,True
VNM,2024,28,0,True
