espace,k,silhouette_kmeans,silhouette_hierarchical,ari_kmeans_vs_hierarchical,stabilite_ari_moyen_kmeans,effectifs_kmeans,effectifs_hierarchical
ACP2_centroides_trajectoires_F1F2,2,0.5290787585740772,0.5290787585740772,1.0,1.0,"{0: 7, 1: 2}","{1: 2, 2: 7}"
ACP2_centroides_trajectoires_F1F2,3,0.46256200863141306,0.48135206304709943,0.34782608695652173,1.0,"{0: 4, 1: 2, 2: 3}","{1: 2, 2: 2, 3: 5}"
