country_iso3,year,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
MAR,1991,-1.7916670968029385,-5.911905512223983,0.46476580598579076,0.7017343515248238,1.387830168968726,2.255132153324173,-0.029570760831145085,0.04556508448681081,0.14886120052409746,0.603843944060073,0.8062896053260653,0.22316499742094933,0.14408763012211823,-1.0091266504250924,0.6235410380697934,-0.22432490982581318,0.0020351701849131505,-0.012302464682540244,0.1364722114979536,0.09636378366658886,-0.24422985821222806,-0.15436580826525634,0.024636723290722907,0.03286005521098661,0.004578293353941906,-2.0748410486615195e-07,-2.0588843175778418e-14,-6.07647766986664e-16
MAR,1992,-0.9769229926897017,-5.5581234648052344,0.28212036740532276,-0.41682884776054296,1.146251926920704,2.569440184242661,-0.4853963716958319,-0.05660795416175193,-1.4119746154362394,-0.9024665828460564,0.7197473976339178,-0.07928045584502427,-0.14885951000354414,-0.8575800180630015,0.43829739291664027,-0.26060512871476776,-0.30140611258346345,-0.30560872708600906,0.1470945705728678,0.03408840475260199,-0.16945277185245247,-0.05641710140693057,-0.07388597290582631,0.025337172975175206,-0.03390276948003261,1.899913694519958e-07,-1.378951667734643e-14,1.3910951104550792e-15
MAR,1993,-0.8415472185663627,-5.485212105975651,0.3085978042292391,-0.26277646302584906,1.1694553466402215,2.3539270716429,-0.5200077747522116,-0.22267080490690092,-1.1831938370552393,-0.6661059913125594,0.591483389066084,-0.044124229947402345,-0.08139026091389162,-0.7947279843410359,0.4393976678073867,-0.2985949531191092,-0.48949925860800014,-0.30450864120866933,0.11160307516066434,0.030602574258189682,-0.17299517933030664,-0.06752675017435157,-0.07495862198033273,0.015951823338500686,-0.06182673482626648,-4.6316170663671215e-07,-8.051304104640565e-16,-5.279986166547206e-16
MAR,1994,-1.4773138474906968,-5.787982029598644,0.20840030272338686,0.4629039684333931,0.981847024461745,1.7915639329150654,-0.26901103581479985,-0.24923413006838233,0.9278465769422491,1.4187998848947148,0.8131094642497595,0.25906626687308326,0.1625426401609259,-0.8777567450921914,0.5463536684634434,-0.12532742303833602,0.08176536554071769,0.051817857316634144,0.12959023330201336,0.08212072083363321,-0.26127354633741073,-0.20805893867621744,0.07055607416641192,0.0050189622133280255,-0.042388649784897044,-1.1415868103977073e-07,1.2452943646962288e-14,-1.0796349811512278e-15
MAR,1995,-0.5486561100794103,-5.437911678554882,0.06385336187719694,-0.8952126298120129,0.8716827397231156,2.4172912546480596,-0.5012871466394245,-0.008860385167295247,-1.8351884240111265,-1.5577826876640986,0.6736241661922354,0.15993808426653208,-0.29763174549556853,-0.7867962179576872,0.22669658752134644,-0.04209670390997015,-0.3452132732864719,-0.3837990535474997,0.14415350394578938,0.026325398921750013,-0.14625099266831212,-0.08309299180280795,-0.056411644783623614,0.04564395929206046,-0.07650516716700698,-1.1040767160045729e-06,2.9081030630312925e-14,3.0767058259633976e-16
MAR,1996,-1.7698029619470763,-5.674585104209815,0.5784507401406837,1.7183991264446175,1.3093454502954622,2.356854425452161,0.3593536374443396,-0.3946358813205741,1.3645628715227331,1.1926549924923187,1.1257302138979095,0.4292562955912569,-0.20241397867204677,-0.494868598766954,0.42560805743773394,-0.033926972384505656,0.37286792825049203,0.12417105213043664,0.31863372189654154,0.27283179058535695,-0.2805196974688461,-0.23853549325367288,0.13133793413765057,0.012418524563601815,-0.02906416629677765,4.223974558401035e-07,-4.6584096553456386e-15,-5.768363825252392e-16
MAR,1997,-0.8246079037665656,-5.089442855946209,0.731056028269932,0.9745144285950886,1.1644447163681577,2.69133941290795,-0.14257948103024604,-0.7934553260604235,-1.5047859145170284,-1.1476078115742494,1.1441942978421644,0.08938719478325727,-0.6194687730300117,-0.2607157502410706,0.177200372866851,0.06889304023550416,0.04860768150314324,-0.07234312940776905,0.20335163478293203,0.07560882920556941,-0.19891694571227184,-0.14007564264086947,0.029546726063840147,-0.02157603654632327,-0.06694073304303458,-1.04826786386111e-06,3.570814266577905e-14,8.94363368295125e-16
MAR,1998,-1.0563789892758526,-5.291064833894603,0.7022049965881162,1.4964089190733754,1.4664584412214297,2.376724697935812,0.34418624752052207,-0.4296526532312331,0.5496209936657719,0.14878315383771015,1.1454958311834074,0.22097113496145407,-0.4273147626293625,-0.30674919137717216,0.3000751350089958,-0.12240413135463275,0.34052119511735723,-0.30261622806293287,-0.27880175592439754,0.02195681308274193,-0.1346493739269836,-0.1561632349051453,0.10021307796476803,-0.013659019076767684,0.04732952736895951,7.712357074058151e-07,5.951404353894507e-15,-2.2635514828856165e-15
MAR,1999,-0.7353106743825404,-5.116784933587767,0.7442545386815678,1.7999118257204614,1.6631002349156412,2.7656840156237243,0.18970137810710602,-0.8788383618497684,-0.6588871348434115,-0.9771759542235932,0.7959048516531806,0.18764198252780287,-0.7043121208969367,-0.22566217737375158,0.21573097629018304,-0.17353161596307273,0.03754758462690842,-0.4665541898227391,-0.183326980974462,0.12277240342551964,-0.13523639875311708,-0.10880946182622385,0.08061769517602507,0.018139229399348086,0.021504190609712367,-2.1450565645237507e-08,-1.0977234650155796e-14,-6.068415587133274e-17
MAR,2000,-0.601532788238212,-4.913054314009154,0.2908014758084552,-0.1136067967083148,0.9590967157503468,2.0923865498265553,-0.37307624690865077,-0.48001285263532506,-0.1453481642985633,-0.2888607317457092,0.43395204095734,0.02339164081248431,-0.18936331969427733,-0.315609728312775,0.22997920305999126,-0.33800971984874534,-0.3272407584205264,-0.5374460875346314,-0.2959779370902512,-0.043810719267434926,-0.15141121441427938,-0.021137904498763217,-0.04428576781122103,-0.005012928757365492,-0.022486867217991004,-5.508344595304295e-08,-1.0663694183788354e-14,8.711244762633745e-16
